Drug,N_CellLines,Pearson_r,P_value,NegCorr
ZSTK-474,12,-0.09861859512045962,0.7604255190769192,True
OXALIPLATIN,10,0.07898066915535273,0.7631765701321929,False
ETOPOSIDE,11,0.10272628572672715,0.7637529876148124,False
SELUMETINIB,12,0.06437447531194099,0.7650593426893967,False
"KIN001-260, BAYER IKKB INHIBITOR",12,0.09553215935492232,0.7677387345828186,False
"CETUXIMAB, ERBITUX",11,0.0998438290183024,0.7702260503432019,False
ELEPHANTIN,7,-0.13464512501230058,0.7734856944291917,True
AT13148,10,0.1009515005515562,0.7814054027628486,False
XMD15-27,12,0.08486909248406178,0.7931353113691719,False
TENOVIN-6,13,-0.08061340151984764,0.7934802136065469,True
EMBELIN,11,0.08752681685268679,0.7980301463854198,False
DINACICLIB,7,-0.11888586315292284,0.7995963568108349,True
DACOMITINIB,13,-0.07761127482793313,0.8010300414480107,True
BAM7,13,0.07745475787917154,0.8014240968499545,False
GSK2126458,12,0.07978097021561187,0.8053207413193272,False
BEXAROTENE,10,-0.08965251994172407,0.8054538134406919,True
CCT007093,12,0.0795654715141118,0.805837732090214,False
MIDOSTAURIN,11,0.08032993842381969,0.8143762745301651,False
KB NB 142-70,13,-0.07222327789354135,0.8146195131117115,True
PAZOPANIB,11,-0.07881056715688495,0.8178359161741865,True
RO-3306,12,-0.07258550868325267,0.8226205065800792,True
SNX-2112,12,0.07236512711352454,0.8231515462620393,False
OF-1,7,-0.10270423678407167,0.8265619838114271,True
MASITINIB,12,-0.07015909526273638,0.828471003344998,True
"WEHI-539, WEHI539",10,-0.07821587338034018,0.8299456658220814,True
