Biomarker_AMP,Biomarker_AMP_HGNC,BiomarkerCluster,BiomarkerCluster_HGNC,TargetGene_AMP,TargetGene_AMP_HGNC,OncogeneAddiction,Beta,T-stat,P-value,EffectSize,CI_Lower,CI_Upper,n_Lines,MeanCNA,MeanEffect,PredictedEffect_CNA2,MeanEffect_CNA6plus,DeltaEffect_CNA6minusPred2,FDR,Pair,Biomarker_Unified,Biomarker_Unified_HGNC,TargetGene_Unified,TargetGene_Unified_HGNC,CNA_P_one,CNA_Q,CNA_EffectSize,CNA_Delta,Expr_P_one,Expr_EffectSize,Expr_Delta,Validated
51773,RSF1,51773,RSF1,55015,PRPF39,FALSE,-0.01860254631,-4.312748526,1.61E-05,-0.07321991477,-0.02705662625,-0.01014846637,17,6.341184807,-0.4436800441,-0.3629229527,-0.6689595927,-0.30603664,0.005354460417,51773_55015,51773,RSF1,55015,PRPF39,8.45E-06,0.005175532157,-0.0740826641,-0.3227834159,0.0005766434782,-0.5746340851,-0.3258196986,TRUE
51773,RSF1,51773,RSF1,253260,RICTOR,FALSE,-0.02470700345,-6.067430814,1.30E-09,-0.1088119794,-0.03268811414,-0.01672589276,17,6.341184807,-0.4244820364,-0.3172243684,-0.6638827992,-0.3466584308,2.12E-06,51773_253260,51773,RSF1,253260,RICTOR,2.20E-09,4.19E-06,-0.1031443161,-0.3428545488,0.0008193519499,-0.6404226996,-0.3225545205,TRUE
51773,RSF1,51773,RSF1,6598,SMARCB1,FALSE,-0.02544782334,-7.435046621,1.05E-13,-0.08420437132,-0.03215616288,-0.0187394838,17,6.341184807,-0.9223945089,-0.8119208048,-1.203380371,-0.3914595666,4.29E-10,51773_6598,51773,RSF1,6598,SMARCB1,8.55E-13,2.81E-09,-0.07999485875,-0.3583333113,7.06E-05,-0.6058082332,-0.3592172327,TRUE
51773,RSF1,51773,RSF1,23293,SMG6,FALSE,-0.04268214381,-6.13140358,8.71E-10,-0.09307415472,-0.05632591453,-0.02903837309,17,6.341184807,-1.035025525,-0.8497344505,-1.392348945,-0.5426144946,1.54E-06,51773_23293,51773,RSF1,23293,SMG6,2.15E-11,5.53E-08,-0.09555770304,-0.6087975835,0.0003776540102,-0.6381594919,-0.5844831853,TRUE
51773,RSF1,51773,RSF1,10440,TIMM17A,FALSE,-0.05178824786,-5.443685798,5.22E-08,-0.1051496906,-0.0704342727,-0.03314222301,17,6.341184807,-0.3878870846,-0.1630647298,-0.8273687682,-0.6643040384,5.09E-05,51773_10440,51773,RSF1,10440,TIMM17A,2.58E-08,3.94E-05,-0.105233749,-0.6978404073,0.003891715105,-0.6467828956,-0.6518697809,TRUE
51773,RSF1,51773,RSF1,114034,TOE1,FALSE,-0.03023575873,-4.988609127,6.08E-07,-0.06099434784,-0.0421150214,-0.01835649606,17,6.341184807,-0.7187744888,-0.5875154724,-1.17748612,-0.589970648,0.000393395148,51773_114034,51773,RSF1,114034,TOE1,2.10E-06,0.001654784446,-0.05890997734,-0.5974922357,0.0001676925241,-0.4275798872,-0.592597801,TRUE
51773,RSF1,51773,RSF1,9804,TOMM20,FALSE,-0.01873968329,-5.140495168,2.74E-07,-0.07649595366,-0.0258847351,-0.01159463147,17,6.341184807,-0.6162604069,-0.5349079785,-0.9347585578,-0.3998505793,0.0002094787249,51773_9804,51773,RSF1,9804,TOMM20,1.96E-07,0.0002390458439,-0.07132289358,-0.376466063,8.59E-05,-0.4238587663,-0.359010198,TRUE
51773,RSF1,51773,RSF1,163131,ZNF780B,FALSE,-0.02511002618,-12.35036664,4.85E-35,-0.1148063666,-0.02909490764,-0.02112514473,17,6.341184807,-0.1265252934,-0.01751802922,-0.3611947744,-0.3436767451,1.81E-30,51773_163131,51773,RSF1,163131,ZNF780B,2.14E-30,3.52E-26,-0.1101310383,-0.324909567,0.0007237760198,-0.6732355483,-0.3032485558,TRUE
55588,MED29,"55095, 55588","SAMD4B, MED29",151648,SGO1,FALSE,-0.03535789483,-4.72740793,2.27E-06,-0.09727445715,-0.05001713335,-0.0206986563,17,5.142457067,-1.095177156,-0.9840664894,-1.455480369,-0.4714138793,0.001160103678,55588_151648,55588,MED29,151648,SGO1,1.17E-05,0.006586720232,-0.09296084807,-0.4343362125,0.000373077758,-0.529684073,-0.4564730409,TRUE
55588,MED29,"55095, 55588","SAMD4B, MED29",284459,ZNF875,FALSE,-0.0386282735,-8.568924135,1.04E-17,-0.1466544851,-0.0474636913,-0.0297928557,17,5.142457067,0.08974411405,0.2111318051,-0.1767726369,-0.387904442,8.78E-14,55588_284459,55588,MED29,284459,ZNF875,3.60E-16,1.74E-12,-0.1407546892,-0.3654857627,0.0256318276,-0.6711424515,-0.3650584306,TRUE
