Gene,Gene_HGNC,Sample,CNA,Protein
10016,PDCD6,TCGA-29-1770-01,1,0.4765
10016,PDCD6,TCGA-29-1771-01,0,0.0426
10016,PDCD6,TCGA-29-1785-01,-1,-0.5975
10016,PDCD6,TCGA-29-2427-01,0,0.0913
10016,PDCD6,TCGA-29-2431-01,0,0.0657
10016,PDCD6,TCGA-30-1887-01,1,-0.1581
10016,PDCD6,TCGA-30-1891-01,1,0.3261
10016,PDCD6,TCGA-36-1569-01,1,0.1318
10016,PDCD6,TCGA-36-1570-01,0,-0.3124
10016,PDCD6,TCGA-36-1571-01,0,-0.4924
10016,PDCD6,TCGA-36-1577-01,-1,-0.4842
10016,PDCD6,TCGA-36-1578-01,1,0.5122
10016,PDCD6,TCGA-36-1580-01,-1,-0.3999
10016,PDCD6,TCGA-36-2530-01,0,-0.1364
10016,PDCD6,TCGA-36-2532-01,0,-0.1108
10016,PDCD6,TCGA-36-2534-01,0,0.1237
10016,PDCD6,TCGA-36-2537-01,0,0.2557
10016,PDCD6,TCGA-36-2542-01,1,0.3007
10016,PDCD6,TCGA-36-2544-01,1,0.1151
10016,PDCD6,TCGA-36-2545-01,0,-0.2265
10016,PDCD6,TCGA-36-2547-01,1,-0.0361
10016,PDCD6,TCGA-36-2549-01,0,0.0636
10016,PDCD6,TCGA-59-2348-01,0,0.1727
10016,PDCD6,TCGA-59-2351-01,1,-0.2736
10016,PDCD6,TCGA-59-2352-01,-1,-0.5172
10016,PDCD6,TCGA-59-2372-01,0,0.1524
10016,PDCD6,TCGA-61-1724-01,1,0.663
10016,PDCD6,TCGA-61-1727-01,0,0.1896
10016,PDCD6,TCGA-61-1741-01,-1,-0.2515
10016,PDCD6,TCGA-61-1907-01,-1,-0.428
10016,PDCD6,TCGA-61-1910-01,0,0.351
10016,PDCD6,TCGA-61-1911-01,0,0.0119
10016,PDCD6,TCGA-61-1914-01,2,0.5857
10016,PDCD6,TCGA-61-1915-01,0,0.1373
10016,PDCD6,TCGA-61-1918-01,1,0.4075
10016,PDCD6,TCGA-61-1995-01,0,-0.1526
10016,PDCD6,TCGA-61-2008-01,1,-0.0624
10016,PDCD6,TCGA-61-2087-01,1,0.2894
10016,PDCD6,TCGA-61-2088-01,0,-0.3368
10016,PDCD6,TCGA-61-2094-01,0,-0.1025
10016,PDCD6,TCGA-61-2613-01,0,-0.3067
1004,CDH6,TCGA-09-1664-01,0,-0.6626
1004,CDH6,TCGA-13-1404-01,1,-1.0588
1004,CDH6,TCGA-13-1409-01,1,0.6523
1004,CDH6,TCGA-13-1410-01,0,0.4544
1004,CDH6,TCGA-13-1482-01,0,-0.5407
1004,CDH6,TCGA-13-1483-01,0,0.0184
1004,CDH6,TCGA-13-1485-01,0,-0.1883
1004,CDH6,TCGA-13-1487-01,0,0.0427
1004,CDH6,TCGA-13-1488-01,1,0.1256
1004,CDH6,TCGA-13-1489-01,1,0.9186
1004,CDH6,TCGA-13-1492-01,1,-0.4755
