Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
PLXNB2,23654,0.13234266575060127,2.538507838304894e-08,119,0.2338203180124786
FKBP8,23770,0.16211514598540136,6.670390904202676e-08,119,0.22140169593526748
BRD1,23774,0.18368437499999996,2.9739532665104253e-05,81,0.19913554714140502
PRPF6,24148,0.0858969666329626,0.0004105126138404936,119,0.10161031089597772
NEIL2,252969,0.17776364082433765,0.0035056152353970084,59,0.14001326097387112
RICTOR,253260,0.10183115404976179,2.7647360245833382e-06,119,0.17188011525655622
UBN2,254048,0.25942500000000007,0.015318821120130463,68,0.08584439888353057
NAALADL2,254827,0.1422096774193548,0.025408104039380465,110,0.04540844978531389
TBC1D22A,25771,0.17614799176107104,6.481294425478567e-05,90,0.16668355998965767
PGLS,25796,0.22542398910538453,2.2732359537686617e-11,119,0.3187367629443487
ATXN10,25814,0.22487275641025636,5.406981611686819e-09,119,0.2533294258888117
NIPBL,25836,0.10005566110397947,5.430416005503153e-05,119,0.1304972449716929
ARMC8,25852,0.061401457852193995,0.025221191748961726,119,0.04208048196109404
GALNT2,2590,0.1622559149722736,3.463782385540401e-06,119,0.16880075532527283
AHCTF1,25909,0.09265083581405995,9.046680775966436e-07,119,0.18700495047352106
WWTR1,25937,0.17619142642642643,0.00035653277119454167,113,0.10894893510787529
KANK2,25959,0.08418206158980578,0.01605270355131868,119,0.04854139844329042
GAPDH,2597,0.20465822191179403,1.342514636243552e-11,119,0.3247399765639415
NECAP1,25977,0.19302402105263147,8.417499029173208e-09,117,0.2515232196413404
FAM32A,26017,0.25443324347506446,3.9042250589046156e-10,110,0.3052654460679337
UBXN7,26043,0.19878520320100418,5.750466958104069e-13,119,0.3596107374696432
RAI14,26064,0.11963751287332652,0.00217112416815667,119,0.07750601026067705
LSM14A,26065,0.16855539811066114,3.632669533705556e-12,119,0.3394231634858039
ZBTB20,26137,0.189027729257642,0.005974133470115583,68,0.10897147052686407
MTG2,26164,0.26771369399830935,5.853044176368181e-05,75,0.1996607159877195
GMEB2,26205,0.07363597285067877,0.019909420266559244,110,0.04916562788641565
FBXL6,26233,0.19592913279132795,0.00023960605206558617,87,0.14755886024706955
MYCBP,26292,0.15973193741802513,3.2318711768136037e-09,119,0.25972078385806685
GCDH,2639,0.264807829391892,1.837577725255753e-16,119,0.4409898503880074
AGO1,26523,0.09141087570621471,0.0005708626528421792,117,0.0984606437122929
GDI2,2665,0.18215785619174438,3.3172269729436613e-14,119,0.3896887145682004
OPLAH,26873,0.26803302616609775,6.619245856379075e-08,119,0.2215013376622883
COPG2,26958,0.08915605292792798,0.0038005875967409408,119,0.06937662493911145
PABPC1,26986,0.06415369585687382,0.008554933252679848,119,0.05761481857677864
AKAP8L,26993,0.1781477494732809,1.6359658089834683e-09,119,0.2680990877289049
TRAPPC3,27095,0.12376022030651342,1.0718103837263175e-06,119,0.18472431927999933
AGO2,27161,0.13122311235955061,2.446504496232691e-06,119,0.17354680024452374
GPKOW,27238,0.0479590909090909,0.047535527105323765,119,0.033140125621930805
GOLIM4,27333,0.16414256919374248,0.0003690032393121677,119,0.10314524840296202
EIF3K,27335,0.05342283285642148,0.01585874565367525,119,0.04871595961371855
GMDS,2762,0.21323605405405419,1.0847026113703471e-09,119,0.273113582586172
GMPR,2766,0.24066517915309446,0.00018489852078182849,119,0.11306372564725542
GPI,2821,0.21707742427128973,1.3934557168670723e-11,119,0.32431711983650047
GPLD1,2822,0.12736947881514807,0.04929112981962494,68,0.057302629050258735
PGM2L1,283209,0.20497823121110584,0.0006046802851792196,119,0.09602414306521534
KCTD21,283219,0.11156666666666666,0.0034285747945553,114,0.07392962194227992
KCTD1,284252,0.15171607341490537,0.0020717958027576923,83,0.1111389240106202
