Protein,MissingPercent
PLCL2,75.84541062801932
MARVELD3,75.84541062801932
VNN2,75.84541062801932
SORCS2,75.84541062801932
RALGPS1,75.84541062801932
ZBED8,75.84541062801932
ARHGAP15,75.84541062801932
FCRL5,75.84541062801932
TCTEX1D2,75.84541062801932
ARSE,75.84541062801932
STRADA,75.84541062801932
CHGA,75.36231884057972
CEP85,75.36231884057972
SLC28A3,75.36231884057972
TMEM39B,75.36231884057972
PIGB,75.36231884057972
LRIG2,75.36231884057972
ANKRD45,75.36231884057972
FAM20C,75.36231884057972
TINF2,75.36231884057972
MRM1,75.36231884057972
NME6,75.36231884057972
HPN,75.36231884057972
ZBED5,75.36231884057972
WDR60,75.36231884057972
MSL2,75.36231884057972
SETD9,75.36231884057972
POLR3GL,74.8792270531401
LAMP5,74.8792270531401
SMURF2,74.8792270531401
FAM115C,74.8792270531401
PDCD2,74.8792270531401
GYPA,74.8792270531401
GTF2H5,74.8792270531401
MLLT6,74.39613526570048
TTC12,74.39613526570048
CD2,74.39613526570048
MGARP,74.39613526570048
GLOD5,74.39613526570048
WDYHV1,74.39613526570048
NOVA1,74.39613526570048
IKZF3,74.39613526570048
ZBTB43,74.39613526570048
ATG14,74.39613526570048
SPON2,74.39613526570048
SLC35B3,74.39613526570048
FRMD4A,73.91304347826086
GMNN,73.91304347826086
EIF2AK3,73.91304347826086
SCML2,73.91304347826086
ITGAE,73.91304347826086
TCTN2,73.91304347826086
GIPC2,73.91304347826086
C12orf45,73.91304347826086
EFNA1,73.91304347826086
ABHD6,73.91304347826086
CAPN13,73.91304347826086
SLC52A2,73.91304347826086
L3MBTL3,73.91304347826086
KNSTRN,73.91304347826086
NCCRP1,73.91304347826086
ZFAND2B,73.91304347826086
ESR1,73.42995169082126
ZNF608,73.42995169082126
AMN1,73.42995169082126
PDE5A,73.42995169082126
ALKBH8,73.42995169082126
NFKBIA,73.42995169082126
TMEM67,73.42995169082126
NPRL2,72.94685990338165
EYA4,72.94685990338165
HJURP,72.94685990338165
LYRM9,72.94685990338165
LMO4,72.94685990338165
BBS9,72.94685990338165
ADCY8,72.94685990338165
DENND6A,72.94685990338165
TNFSF13,72.94685990338165
PLA2G6,72.94685990338165
GPATCH11,72.94685990338165
GAN,72.94685990338165
RSAD2,72.46376811594203
CEMIP,72.46376811594203
DPYSL5,72.46376811594203
CACNA2D2,72.46376811594203
EPT1,72.46376811594203
DDHD1,72.46376811594203
SEMA4A,72.46376811594203
MNT,72.46376811594203
RNF216,72.46376811594203
PRMT6,72.46376811594203
GFOD2,72.46376811594203
NEK1,71.98067632850241
EPM2A,71.98067632850241
MCF2L,71.98067632850241
FBXO45,71.98067632850241
NBR1,71.98067632850241
NRIP2,71.98067632850241
CDC20,71.98067632850241
KIAA1551,71.98067632850241
BCL6,71.98067632850241
ZNF770,71.98067632850241
GRPEL2,71.98067632850241
SNAP47,71.98067632850241
GATSL3,71.98067632850241
METTL9,71.84466019417476
GALNT16,71.49758454106279
MED26,71.49758454106279
RNASEH1,71.49758454106279
SLCO2A1,71.49758454106279
CBX4,71.49758454106279
AQP5,71.49758454106279
C1orf43,71.49758454106279
MPLKIP,71.49758454106279
PLCE1,71.49758454106279
TBC1D22B,71.49758454106279
COL21A1,71.49758454106279
DUSP22,71.49758454106279
ING4,71.49758454106279
SPATA18,71.49758454106279
DTWD2,71.49758454106279
HPDL,71.49758454106279
PTPN21,71.49758454106279
TNFAIP8L3,71.49758454106279
FST,71.49758454106279
GZMH,71.49758454106279
FASTKD3,71.49758454106279
GYG2,71.49758454106279
RIC1,71.49758454106279
RNPC3,71.01449275362319
FGFR2,71.01449275362319
RDH10,71.01449275362319
PLEKHA3,71.01449275362319
PARD6G,71.01449275362319
CXCL10,71.01449275362319
ZNHIT2,71.01449275362319
FOXG1,71.01449275362319
SLC9A9,71.01449275362319
HEXDC,71.01449275362319
BANP,71.01449275362319
MEF2BNB,70.53140096618358
GALNT8,70.53140096618358
CDCA3,70.53140096618358
KLF5,70.53140096618358
STK36,70.53140096618358
ZNF8,70.53140096618358
TBC1D7,70.53140096618358
GAS1,70.53140096618358
USP53,70.53140096618358
CCDC82,70.53140096618358
LYRM2,70.04830917874396
LRRC42,70.04830917874396
SHPRH,70.04830917874396
GLIPR1,70.04830917874396
IGSF3,70.04830917874396
CTC1,70.04830917874396
NFATC1,70.04830917874396
CMTR2,70.04830917874396
TFAP2C,70.04830917874396
SOX6,70.04830917874396
AMBRA1,70.04830917874396
CNDP1,70.04830917874396
CDCA2,70.04830917874396
GFOD1,70.04830917874396
TDO2,70.04830917874396
TLR1,70.04830917874396
MAFK,69.56521739130434
CCNT2,69.56521739130434
PLXDC1,69.56521739130434
LENG9,69.56521739130434
ADH7,69.56521739130434
FXYD6,69.56521739130434
RCCD1,69.56521739130434
SAV1,69.56521739130434
SLC5A1,69.56521739130434
RAB39B,69.08212560386472
LRRC46,69.08212560386472
LIX1L,69.08212560386472
FGL1,69.08212560386472
GEMIN7,69.08212560386472
ARHGAP39,69.08212560386472
ZBTB9,69.08212560386472
KLHL22,69.08212560386472
ZFPM2,69.08212560386472
IKZF1,69.08212560386472
MST1R,69.08212560386472
LACC1,68.59903381642512
