Pathway,Gene
Gastric cancer,KRAS
Gastric cancer,CCND1
Gastric cancer,RAF1
Gastric cancer,APC
Colorectal cancer,AKT2
Colorectal cancer,PIK3CB
Colorectal cancer,PIK3CA
Colorectal cancer,KRAS
Colorectal cancer,CCND1
Colorectal cancer,RAF1
Colorectal cancer,APC
positive regulation of RNA metabolic process,NCOA2
positive regulation of RNA metabolic process,SUB1
positive regulation of RNA metabolic process,CLNS1A
positive regulation of RNA metabolic process,DHX36
positive regulation of RNA metabolic process,TRA2B
positive regulation of RNA metabolic process,MECOM
positive regulation of RNA metabolic process,NCBP2
positive regulation of RNA metabolic process,RFX5
positive regulation of RNA metabolic process,WWTR1
positive regulation of RNA metabolic process,AGO2
positive regulation of RNA metabolic process,HLTF
positive regulation of RNA metabolic process,ASPH
positive regulation of RNA metabolic process,RSF1
positive regulation of RNA metabolic process,PLSCR1
positive regulation of RNA metabolic process,MED29
positive regulation of RNA metabolic process,CHD7
positive regulation of RNA metabolic process,SMYD3
positive regulation of RNA metabolic process,WNK1
positive regulation of RNA metabolic process,SUPT5H
positive regulation of RNA metabolic process,PAX8
positive regulation of RNA metabolic process,E2F3
positive regulation of RNA metabolic process,ACTR3
positive regulation of RNA metabolic process,ATXN7L3
positive regulation of RNA metabolic process,FBXW11
