Gene,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
GATAD2A,0.12657066796790287,9.666289675953728e-07,119,0.18611442157374924
ESRP1,0.20689281934087067,1.1161814816015903e-11,119,0.3268326005655726
FBXL12,0.1312903379549393,0.0008510034355177638,70,0.1519507960441976
CC2D1A,0.23936480819245778,1.199492166749135e-15,119,0.422970604365561
NSUN2,0.21702727272727257,8.617825344192833e-14,119,0.3797778596217857
NCAPG2,0.14932248587570626,8.916505546070862e-05,109,0.13424448417365475
CDKAL1,0.20181198273954415,1.854914669541979e-13,117,0.37678537734974926
YTHDF1,0.20018869426751598,5.7563085646165246e-08,119,0.22330767352905156
CHCHD3,0.0620508733624454,0.021690545312511224,119,0.04423065778017188
TMEM161A,0.12278132747933886,0.00018561477752232714,109,0.12293877997684477
UCKL1,0.08725169192443433,0.07971301215904984,106,0.029232533565850205
PIGX,0.13624110942249237,0.00024854586821480634,103,0.12501982073268303
PINX1,0.04646791961295126,0.37901640261184333,72,0.011072980444499891
GID8,0.0254001987712324,0.43653203796572293,117,0.005273162762955641
PAK1IP1,0.20107989163154716,3.911960976722933e-10,119,0.2854213839268025
TTC38,0.2092477401129943,0.00023355123114351844,119,0.10971707788844265
PPP1R2,0.2041380374862183,5.027656469600408e-17,119,0.45311640177823376
OXR1,0.2042047892720305,1.6578021563189868e-09,119,0.2679367542628225
TAPBPL,0.09290166915794716,0.09512764125455374,106,0.026552473477614913
IFT57,-0.01669348079161819,0.8167191819605801,63,0.0008874400488149137
GPATCH1,0.22403749999999992,4.4731337780759295e-11,114,0.32235589773460926
SAMD4B,0.2323527310257225,8.25933159462054e-15,119,0.4038484073382622
WDR70,0.14814032044491526,1.5013455454410889e-06,119,0.18017505689724234
ANO1,0.2816985226223452,0.06157010804727087,53,0.06685270629312379
HEATR1,0.03832505282930264,0.11675497240579405,119,0.02089684580539508
RBM28,0.18159141961918526,2.685143056223315e-08,119,0.23310331090385505
ELP3,0.1260677992607336,1.333022745136889e-06,119,0.18178261430098863
MSTO1,0.06259472222222222,0.20835564210984553,104,0.015472994009708363
INTS10,0.01693046120286694,0.533732371740584,119,0.0033187421620064494
FAIM,0.1261536,0.003633100563221458,117,0.07120946764630876
SLC25A36,0.0474215849843587,0.4642307861247943,90,0.006103179178357454
PPP2R2A,0.3433422830923249,5.947788175202535e-19,119,0.4927115966554212
MAP1S,0.21446309626128054,3.708063946464626e-15,119,0.4118589171676428
GOLPH3L,0.2125968739439,6.75696187957835e-08,119,0.2212347398806327
CCDC25,0.254916363377879,5.2546877229640035e-15,119,0.40838480425504065
KLHL26,0.1079978866474544,0.005767182573062477,79,0.09482033276740065
CCDC91,0.2769335244417623,1.407067075964472e-13,119,0.374628168987432
BRIX1,0.043336676107106106,0.229618389090249,119,0.012311601584655829
GIMAP4,-0.02409941176470589,0.5617846946217329,119,0.002885272401306982
C5orf22,0.23030748244192328,7.71967058563898e-06,119,0.15777982062572926
ABCF3,0.20891040664100086,4.1896803718328195e-15,119,0.41064423586742715
AGPAT5,0.17545202588632525,6.728197641735605e-05,119,0.12746351825469493
LSG1,0.12777220670391065,8.640612830423718e-09,119,0.2474636788866842
PPT1,0.22834866143317237,3.74745213468605e-06,119,0.1677233035509922
PRCP,0.12210823468328144,0.005547908594072839,119,0.06388782597693765
PARL,0.2837536212704523,6.02811367987417e-11,119,0.307486721236082
ETNK1,0.24079050197570612,5.429167850247995e-08,114,0.2328383571454289
RBM38,0.16538726572958493,0.0009881900201981128,119,0.08892070966523813
MED29,0.13581375537684678,0.00031698525729998214,111,0.11264236584123677
TRMT1,0.2530626426989266,3.98732205878016e-11,119,0.31227591072968075
POMGNT1,0.14798380281690143,9.821311433481149e-05,116,0.12510826233882066
CHD7,0.13286557501904045,0.008406417484797878,84,0.08167756184991393
PRKAB2,0.07444482758620691,0.06261053751058528,96,0.0363984865312984
INTS8,-0.01989338709677421,0.36246793971157143,119,0.0070933041690315335
PRKACA,0.15122934782608702,3.4149209947034015e-08,119,0.2300268908114278
MFN1,0.14439855625170253,3.88693099577163e-06,119,0.1672227171697429
TRMU,0.22678465553235896,9.269382327162958e-06,101,0.18089061359354075
YEATS2,0.03201610501567397,0.4464678442725948,69,0.008677675392324002
MAP7D1,0.1496148275862069,6.949278262188757e-06,119,0.1592320359778897
ASF1B,0.23364609038737444,1.8069287063838333e-05,105,0.1641683256872285
ARFGAP1,0.22485709483368732,4.72071676446624e-10,119,0.2831681730536587
NUP133,0.055317108650875337,0.007928196579618041,119,0.05871556192284344
AGK,0.1930259933380918,1.418702158365828e-09,119,0.2698414947119263
INTS9,0.11190081395348839,0.00023517741403838115,113,0.11521253565745637
EXOC2,0.022261911357340725,0.09930435196745821,119,0.023048954386757248
PRKCI,0.19236057457212719,7.28431469634475e-07,119,0.18991195395005322
ITFG2,0.09386353996737357,0.027276317647074635,101,0.04826895229604944
USE1,0.17468133347031026,6.489148473894033e-07,117,0.194454614757414
ACOT13,0.17715515743756782,7.5981616228650284e-06,119,0.15799909199290674
TMEM126B,0.07124144013880855,0.1365869548892616,100,0.02247130952737031
ASH1L,-0.038563999999999925,0.7633152194015774,100,0.0009296001042868873
PBK,0.20538634714242515,0.0021877858516729733,113,0.08142134086651309
PRKCSH,0.17667706242158096,2.667573959006559e-10,119,0.28999160529312373
CMAS,0.38630477528089885,5.961843631754443e-09,119,0.25211051831333386
BIN3,0.09122333333333339,0.026336753359215145,63,0.07830656024825067
DMAP1,0.06916114150708776,0.00751545994331714,119,0.05948942537758872
SLC50A1,0.1820629255989911,0.013220399420268012,59,0.1029543780658565
CPXM1,0.05349840842311467,0.4091917213744243,119,0.005829638536131276
PPAN,0.09232255740657364,0.000316265510211471,119,0.10536372794181903
PRSS1,0.11918377265238883,0.11865593650029428,117,0.021041250416925394
PRSS2,0.1721340399862115,0.11030796596140037,97,0.02662060530764787
EIF5A2,0.12103193473193474,0.16793546358114853,90,0.021493940248837884
ZC3HAV1,0.0856777791878173,0.0001884669138221721,119,0.11279012032460312
GRIPAP1,0.06809361913357398,0.0010730965324910054,119,0.087726866459785
PSMA7,0.011053278688524595,0.5550711869191716,119,0.0029852924276518866
UBQLN4,0.19429883548983376,1.4471522206233719e-09,119,0.26959893172747906
WRNIP1,0.1855667523879501,4.111154199806075e-10,119,0.284826535683499
PSMB2,0.011461419354838713,0.42106586273207236,119,0.005541082276339093
PSMB4,-0.009492121104815872,0.7035390268299875,119,0.0012422751121256015
MCCC1,0.10079393239299615,0.0056504433659553535,119,0.06362227270773202
LXN,0.07086239754098358,0.18116908435428963,119,0.015230308249363111
ENY2,0.04735922300706355,0.04851254171076886,119,0.032856337160209526
MRPS22,0.04443599519663767,0.20176101379310254,119,0.013890248595759158
OTUD7B,0.20017884962134871,9.72766991320227e-07,113,0.19507424130937934
