Biomarker,Target,Tractability_Flags,Tractability_Interpretation,Known_Drugs,Approved Drug,Advanced Clinical,Phase 1 Clinical,Clinical Precedence,Structure with Ligand,High-Quality Ligand,High-Quality Pocket,Druggable Family
RECQL,PFDN1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
RECQL,TACC3,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
DESI2,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
DESI2,CIT,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,0,1,0,1
DESI2,KAT6A,3,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,1,0
DESI2,LCE5A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
DESI2,PARD3,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
DESI2,PARD6B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
DESI2,SKP2,3,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
DESI2,WDR26,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
ERGIC2,CITED2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
ERGIC2,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
ERGIC2,SNAP23,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSRC1,MIOS,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSRC1,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
THEM6,PSMG1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
THEM6,SPAG5,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PCF11,ATP5MC1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
PCF11,POLR2M,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PCF11,ZEB1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RAP2B,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
SELENOT,CITED2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
SELENOT,ELOF1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
SELENOT,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RAP2B,SNAP23,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
SELENOT,TIMM17A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,AARS2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,ACLY,5,HIGH tractability (approved drug exists),BEMPEDOIC ACID,1,0,0,0,1,1,1,1
RSF1,ARID1A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,BCS1L,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
RSF1,COA7,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,DPRX,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,FAM98C,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,KDM2A,4,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,1,1
RSF1,LARS2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,LENG8,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,MEN1,3,MODERATE tractability (clinical-stage target),REVUMENIB; SNDX-5613,0,0,1,0,1,1,0,0
RSF1,MRPL33,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
RSF1,MRPS12,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
RSF1,MRPS18B,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
RSF1,MRPS23,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
RSF1,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,NSMCE2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,PRPF39,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,RICTOR,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
