Biomarker,Biomarker_HGNC,Endpoint,N_patients,N_amplified,N_not_amplified,Amp_frequency,Univariate_HR,Univariate_coef,Univariate_p,Univariate_CI_lower,Univariate_CI_upper,Adjusted_HR,Adjusted_coef,Adjusted_p,Adjusted_CI_lower,Adjusted_CI_upper,Univariate_FDR,Adjusted_FDR
65125,WNK1,PFS,469,33,436,0.0703624733475479,0.8259144760703617,-0.1912640506881711,0.3969374412694403,0.5305737312700972,1.2856549082248632,0.8126450098428348,-0.2074609070500523,0.3586947312133088,0.5218017515074999,1.265599262774742,0.9790247257982192,0.8908228531612116
60412,EXOC4,PFS,469,33,436,0.0703624733475479,0.8077299287008832,-0.2135275229912289,0.3553345016536589,0.5135984906560258,1.2703067660611305,0.8121576515619284,-0.2080608054956898,0.3678573339319605,0.516379130880501,1.2773561353377574,0.9790247257982192,0.8908228531612116
157769,FAM91A1,PFS,469,120,349,0.255863539445629,1.0959512306342516,0.0916226899392905,0.4607624357127642,0.8591245103105818,1.3980617308828938,1.1168147449979866,0.1104806558381567,0.3764150899148968,0.8743035071140471,1.426592898800095,0.9790247257982192,0.8908228531612116
11244,ZHX1,PFS,469,118,351,0.2515991471215352,1.0954721785645305,0.0911854836236685,0.4645323259223757,0.857986612476455,1.3986923298781084,1.1164828263486557,0.1101834104947385,0.3794500959649355,0.8732573847159694,1.4274530320026124,0.9790247257982192,0.8908228531612116
55846,ITFG2,PFS,469,30,439,0.0639658848614072,0.8192324226403499,-0.1993874470617027,0.411246281719638,0.5091686711859523,1.3181128382112708,0.8101940210691206,-0.2104815278148064,0.3859279222412863,0.5034415134811159,1.3038542396658608,0.9790247257982192,0.8908228531612116
2288,FKBP4,PFS,469,30,439,0.0639658848614072,0.8192324226403499,-0.1993874470617027,0.411246281719638,0.5091686711859523,1.3181128382112708,0.8101940210691206,-0.2104815278148064,0.3859279222412863,0.5034415134811159,1.3038542396658608,0.9790247257982192,0.8908228531612116
3840,KPNA4,PFS,469,55,414,0.1172707889125799,0.8509901953009518,-0.1613546718606201,0.3618880881842606,0.6015741128626294,1.2038156180828228,0.8581353489006849,-0.1529934426337899,0.3876750822959295,0.6064583125648753,1.2142570425302317,0.9790247257982192,0.8908228531612116
10434,LYPLA1,PFS,469,26,443,0.0554371002132196,1.249709130160936,0.2229108283650735,0.3242577475884662,0.8022749258256046,1.9466804454849624,1.2146363669479798,0.1944447455348124,0.3919843687452182,0.77821035395315,1.895813254627304,0.9790247257982192,0.8908228531612116
51337,THEM6,PFS,469,120,349,0.255863539445629,1.0684219171502476,0.066182716036378,0.5917034719433005,0.8389050761061759,1.3607324899563886,1.111140823745808,0.1053872566715093,0.4036266439430324,0.8676764700060565,1.422919685935352,0.9790247257982192,0.8908228531612116
5359,PLSCR1,PFS,469,36,433,0.0767590618336887,1.1502678637793626,0.1399948402778693,0.4874547541965983,0.7747880051115785,1.707713787144903,1.1775896468852116,0.1634696772462965,0.4192364107230408,0.7920088318325228,1.7508862536831795,0.9790247257982192,0.8908228531612116
