Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared,P-value (FDR),Significant (FDR<0.05)
SHARPIN,81858,0.16590367463026165,6.629318448762123e-06,119,0.15988249917815867,2.2368865931405936e-05,True
HYI,81888,0.03235503875968991,0.4747890474017893,114,0.004570711120315818,0.5497557390968086,False
QTRT1,81890,0.13179935707220572,1.5842949427835121e-07,117,0.21337882653010642,7.511743263197686e-07,True
NCOA3,8202,0.07838754826254822,0.34342535133988206,71,0.013017760782765397,0.4174230789766522,False
CAPNS1,826,0.01433121212121212,0.6246262856453708,119,0.0020529653616307986,0.6877766909008087,False
PICALM,8301,0.06373028662420382,0.00835694633343347,119,0.05795351275088945,0.014545317985406356,True
FZD6,8323,0.07083920261754728,0.152473115502723,117,0.01772144287201305,0.20086278688981474,False
EPPK1,83481,0.30361115859449195,8.341522917098396e-07,119,0.18809474256292136,3.488849889280698e-06,True
PLVAP,83483,-0.08864128385634176,0.15310927815777187,110,0.018806579728580686,0.20145957652338403,False
CASP2,835,0.12831747709654687,3.052676420479542e-07,117,0.20462396873746302,1.3875801911270646e-06,True
TMUB1,83590,0.18178034523342496,2.9023870077160977e-09,113,0.27308618141246244,2.123871316310452e-08,True
SELENOO,83642,0.14717410207939502,0.010496661839222227,106,0.06130922278478301,0.018069370928238574,True
TRAPPC9,83696,0.07376478135906382,0.0003530873887337152,119,0.10377973903465298,0.0008211334621714307,True
RIOK1,83732,0.2335666112784297,3.569322940452024e-11,114,0.3250343318759773,4.2217798220400287e-10,True
PIP5K1A,8394,0.03008475609756098,0.610144387596496,86,0.003108448138250619,0.67521008687741,False
TATDN1,83940,0.20979386706258568,2.574662087792783e-07,119,0.20374332031755893,1.1751569695319757e-06,True
NCALD,83988,0.11782496903641328,0.11217346811441603,119,0.021426244887677526,0.15560001882201466,False
DTNBP1,84062,0.09837231031714179,4.9093601505621345e-05,119,0.1319229008944629,0.00013918289086645226,True
ANKRD27,84079,0.1803725,7.530025045467387e-05,75,0.19438091873026364,0.00020401545689689967,True
ANXA9,8416,0.21009185077870332,0.049050958575693505,117,0.03326406918551983,0.07330985656693323,False
MAF1,84232,0.17702018129170333,1.9661613823839574e-07,112,0.2189789388884602,9.242638977018603e-07,True
TMEM126A,84233,0.1657611111111111,2.7223376499980644e-09,119,0.2618404082501169,2.0097794731529334e-08,True
MRI1,84245,0.2820044622425631,1.075893777265599e-12,119,0.3528170503156345,1.7663927686450135e-11,True
MED10,84246,0.005880180761781796,0.8225839266006224,114,0.00045079844684015047,0.8592994484906786,False
FYTTD1,84248,0.1604582842122032,4.17367050480146e-06,119,0.1662470460827511,1.4574722397719384e-05,True
FBXW9,84261,0.21365475877912693,3.15762728326867e-07,85,0.2716132816188471,1.4293786055948713e-06,True
NTPCR,84284,0.3146883954533439,1.5447449735243332e-10,119,0.29646545268344127,1.573351361922932e-09,True
WDR83,84292,0.06040994702766334,0.03294173630758074,91,0.05009838113165488,0.05110847664081638,False
UTP23,84294,0.18256678000251853,5.233012673573057e-05,106,0.14621241639003413,0.00014722030539463841,True
PDCD2L,84306,0.182825431455552,5.826809789376486e-06,89,0.2113832682231649,1.996726096048017e-05,True
ACBD6,84320,0.1452972727272728,0.00010352827660759892,119,0.12134219202171026,0.0002679555394549619,True
ELOF1,84337,0.029348180677540785,0.2126240939379536,119,0.013245800971456667,0.2722776523070419,False
HPS3,84343,0.046269757715604265,0.16400704214824824,113,0.01737536191819289,0.2152837068771755,False
GNPAT,8443,0.12226792152704137,0.00043502673926342796,119,0.10077466757560083,0.0009866585838964345,True
CUL1,8454,0.11560691275167788,4.064319030607985e-13,119,0.36334465588961695,7.45125155611464e-12,True
ZGPAT,84619,0.2767285964604871,9.633859828541705e-09,116,0.2517031262876769,6.107034467238669e-08,True
GTPBP3,84705,0.22064188243526936,0.0003566849090934253,67,0.1792923211923102,0.0008260071579005638,True
CDC42BPA,8476,0.14867641991924627,3.877261860932089e-05,119,0.13525246949268432,0.00011283037161442587,True
LRCH3,84859,0.09282624595469252,0.00013239916511371085,119,0.11783658036356526,0.00033634891830272963,True
PARP10,84875,0.22501251422070537,1.95892126861388e-12,119,0.34625382194406973,3.12291796445691e-11,True
C1orf198,84886,0.09332366508247136,0.0330870621854609,117,0.03888459049126625,0.051261645639446456,False
ALG10,84920,0.2013449008498584,1.292390408178975e-05,117,0.1530528012149237,4.108755632938938e-05,True
TMEM209,84928,0.027388828828828846,0.33438486611809815,114,0.008322388429960914,0.4073348313730985,False
NUDCD1,84955,0.22097025227043382,7.431209248891916e-19,119,0.49079343961470956,1.0896435337109096e-16,True
PPFIBP1,8496,0.13916905336147117,0.00010652153097208364,119,0.12093640861945865,0.0002745832889156108,True
RBM17,84991,0.0670794275075634,0.0008890482310822961,119,0.09045126275661342,0.0019100645589658705,True
PPFIA1,8500,0.17738863343360542,2.42523268776904e-12,119,0.34389971730142876,3.757402755698513e-11,True
TUBGCP6,85378,0.030951979293544457,0.5121346451269342,89,0.004955253599065457,0.5831760969354323,False
RHPN2,85415,0.3108033906399237,4.5695364091750105e-11,119,0.3107001260021427,5.235927135513032e-10,True
HELZ2,85441,0.1423895923167386,0.006774166462659847,111,0.0653401211786181,0.011980037152613877,True
TSPYL5,85453,0.2305756443634469,0.0035884906643569156,119,0.07021028982546229,0.006841143380923063,True
GFM1,85476,0.23849272540983613,6.538337350063275e-09,119,0.250957143478983,4.35889156670885e-08,True
ACTL6A,86,0.13188503747323335,2.503746408485367e-07,119,0.20411197577771967,1.1523519034869888e-06,True
RFXANK,8625,0.11648767833981838,0.002380078004277921,54,0.16406123982090182,0.004725786651093345,True
AKR1C3,8644,0.17556617427835747,0.002602116325733612,116,0.0767780145037803,0.005111299925548167,True
EIF3G,8666,0.07295114813147233,1.3536734568659166e-05,119,0.1499897429192416,4.278852880898012e-05,True
EIF3H,8667,0.012925431199693345,0.3606353667161093,119,0.007147464636062861,0.4359328608656266,False
STX10,8677,0.1421045474325501,2.04617822297518e-05,107,0.15939232814858317,6.217668633349994e-05,True
DGAT1,8694,0.15808063708759956,1.100915771702381e-06,119,0.18436340763275894,4.403663086809524e-06,True
B3GALNT1,8706,0.27700558490566024,0.031542682944041285,54,0.08584923164420466,0.04914582328391701,True
SERPINH1,871,0.052906722783389454,0.25897596839391307,119,0.010877795888270203,0.325198133827973,False
URI1,8725,0.10740139549978366,8.44607545203129e-05,115,0.12835745871934834,0.0002244126327834401,True
EED,8726,0.1041670304365239,0.0027686346805549347,119,0.0739763506075799,0.0054286954520685,True
GPAA1,8733,-0.022550960818567504,0.4900573673314146,113,0.004301983746960891,0.5644639833136713,False
